ar,en,ru,ref
"ٱللَّهُ نُورُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ","Allah is the Light of the heavens and the earth.","Аллах — Свет небес и земли.","24:35"
"وَلَا تَهِنُوا۟ وَلَا تَحْزَنُوا۟","So do not weaken and do not grieve.","Не падайте духом и не печальтесь.","3:139"
"إِنَّ رَبَّكَ لَبِٱلْمِرْصَادِ","Indeed, your Lord is in observation.","Поистине, Господь твой — всегда в наблюдении.","89:14"
"وَٱللَّهُ يَرْزُقُ مَن يَشَآءُ بِغَيْرِ حِسَابٍ","And Allah gives provision to whom He wills without account.","Аллах наделяет уделом, кого пожелает, без счета.","2:212"
"رَبَّنَا لَا تُزِغْ قُلُوبَنَا","Our Lord, let not our hearts deviate.","Господи наш! Не уклоняй сердца наши.","3:8"
"إِنَّ ٱللَّهَ عَزِيزٌ حَكِيمٌ","Indeed, Allah is Exalted in Might and Wise.","Поистине, Аллах — Могущественный, Мудрый.","14:4"
"فَٱللَّهُ خَيْرٌ حَـٰفِظًا","But Allah is the best guardian.","Аллах — лучший Хранитель.","12:64"
"وَلِلَّهِ ٱلْعِزَّةُ وَلِرَسُولِهِۦ","And to Allah belongs [all] honor, and to His Messenger.","Аллаху и Его Посланнику принадлежит вся честь.","63:8"
"قُل رَّبِّ ٱغْفِرْ وَٱرْحَمْ","Say, \"My Lord, forgive and have mercy.\"","Скажи: «Господи! Прости и помилуй».","23:118"
"إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ","Indeed, it is He who is the Accepting of repentance, the Merciful.","Воистину, Он — Принимающий покаяние, Милосердный.","2:37"
"وَمَا تَوْفِيقِىٓ إِلَّا بِٱللَّهِ","And my success is not but through Allah.","И успех мой — только от Аллаха.","11:88"
"ٱللَّهُ وَلِىُّ ٱلَّذِينَ ءَامَنُوا۟","Allah is the ally of those who believe.","Аллах — Покровитель верующих.","2:257"
"إِنَّ ٱللَّهَ كَانَ عَلَيْكُمْ رَقِيبًا","Indeed, Allah is ever, over you, an Observer.","Поистине, Аллах — Наблюдающий за вами.","4:1"
"وَمَن يَعْمَلْ صَـٰلِحًا فَلِنَفْسِهِۦ","And whoever does righteousness — it is for his own soul.","Кто творит добро — тот для себя.","41:46"
"وَرَبُّكَ ٱلْغَنِىُّ ذُو ٱلرَّحْمَةِ","And your Lord is the Free of need, the possessor of mercy.","Господь твой — Самодостаточный, Обладатель милости.","6:133"
"إِنَّ رَبِّى لَسَمِيعُ ٱلدُّعَآءِ","Indeed, my Lord is the Hearer of supplication.","Поистине, Господь мой — Слышащий мольбу.","14:39"
"لَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ","No fear will there be concerning them, nor will they grieve.","Нет страха над ними, и не будут они печалиться.","10:62"
"إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُحْسِنِينَ","Indeed, Allah loves the doers of good.","Поистине, Аллах любит творящих добро.","2:195"
"ٱعْلَمُوٓا۟ أَنَّ ٱللَّهَ يُحْىِ ٱلْأَرْضَ بَعْدَ مَوْتِهَا","Know that Allah gives life to the earth after its lifelessness.","Знайте: Аллах оживляет землю после ее смерти.","57:17"
"وَهُوَ عَلَىٰ كُلِّ شَىْءٍ قَدِيرٌ","And He is over all things competent.","И Он над всякой вещью мощен.","5:120"
"وَٱللَّهُ يُحِبُّ ٱلصَّـٰبِرِينَ","And Allah loves the patient.","Аллах любит терпеливых.","3:146"
"قُلْ حَسْبِىَ ٱللَّهُ","Say, \"Sufficient for me is Allah.\"","Скажи: «Доволен я Аллахом».","9:129"
"وَٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ","And seek help through patience and prayer.","Ищите помощи в терпении и молитве.","2:45"
"إِنَّ رَبَّكَ حَكِيمٌ عَلِيمٌ","Indeed, your Lord is Wise and Knowing.","Поистине, Господь твой — Мудрый, Знающий.","6:128"
"وَلَا تَيْـَٔسُوا۟ مِن رَّوْحِ ٱللَّهِ","And do not despair of relief from Allah.","Не отчаивайтесь в милости Аллаха.","12:87"
"إِنَّ ٱللَّهَ لَقَوِىٌّ عَزِيزٌ","Indeed, Allah is Powerful and Exalted in Might.","Поистине, Аллах — Всесильный, Могущественный.","22:40"
"ٱللَّهُ يَهْدِى مَن يَشَآءُ","Allah guides whom He wills.","Аллах ведет прямым путем, кого пожелает.","2:213"
"وَرَحْمَتُ رَبِّكَ خَيْرٌ","And the mercy of your Lord is better.","Милость Господа твоего — лучше.","43:32"
"إِنَّ ٱللَّهَ عَلِيمٌۢ بِذَاتِ ٱلصُّدُورِ","Indeed, Allah is Knowing of what is within the breasts.","Поистине, Аллах знает то, что в сердцах.","35:38"
"وَهُوَ ٱلْحَكِيمُ ٱلْخَبِيرُ","And He is the Wise, the Acquainted.","Он — Мудрый, Ведающий.","6:18"
